,num_buildings,num_destinations,trace_strength,agents_vision_angle,agent_vision_samples,Run,Avg_raster_value
2017,82,4,57,77.109375,13,97.0,230.1426960244021
2018,57,9,57,77.109375,13,98.0,62.059214959568735
2019,57,4,24,77.109375,13,99.0,27.746937804733022
2020,57,4,57,51.328125,13,100.0,58.119711477622644
2021,57,4,57,77.109375,8,101.0,63.596132718083936
2022,57,9,24,51.328125,8,102.0,30.704581559382348
2023,82,4,24,51.328125,8,103.0,55.71353967647433
2024,82,9,57,51.328125,8,104.0,207.20678238660548
2025,82,9,24,77.109375,8,105.0,56.31454553073796
2026,82,9,24,51.328125,13,106.0,62.56371737746658
2027,82,9,24,51.328125,8,107.0,55.076774442870025
2028,82,7,12,35.859375,7,108.0,91.82146881081634
2029,57,7,12,35.859375,7,109.0,190.53399823385797
2030,82,6,12,35.859375,7,110.0,205.08328679139905
2031,82,7,69,35.859375,7,111.0,214.34723385919133
2032,82,7,12,10.078125,7,112.0,231.3010053222945
2033,82,7,12,35.859375,14,113.0,90.35394406297102
2034,82,6,69,10.078125,14,114.0,181.2396860535319
2035,57,7,69,10.078125,14,115.0,83.25963345864662
2036,57,6,12,10.078125,14,116.0,124.13687398660018
2037,57,6,69,35.859375,14,117.0,207.38230729436108
2038,57,6,69,10.078125,7,118.0,121.23337054883065
2039,57,6,69,10.078125,14,119.0,89.0620740840699
2040,54,6,52,61.640625,6,0.0,122.42041764723406
2041,98,6,52,61.640625,6,1.0,272.93802195623624
2042,54,6,52,61.640625,6,2.0,159.95407427747648
2043,54,6,85,61.640625,6,3.0,242.38326198183148
2044,54,6,52,46.171875,6,4.0,136.34999536593654
2045,54,6,52,61.640625,4,5.0,135.65987058967158
2046,54,6,85,46.171875,4,6.0,233.26582310838447
2047,98,6,85,46.171875,4,7.0,189.5550226244344
2048,98,6,52,46.171875,4,8.0,282.3235316542557
2049,98,6,85,61.640625,4,9.0,272.3975993439201
2050,98,6,85,46.171875,6,10.0,249.42343808107103
2051,98,6,85,46.171875,4,11.0,168.40977762688848
2052,79,9,97,20.390625,12,12.0,157.8238042200359
2053,73,9,97,20.390625,12,13.0,158.1220814285276
2054,79,3,97,20.390625,12,14.0,153.7254039497307
2055,79,9,40,20.390625,12,15.0,144.79293641007575
2056,79,9,97,87.421875,12,16.0,47.04611566145446
2057,79,9,97,20.390625,10,17.0,14.383675735702388
2058,79,3,40,87.421875,10,18.0,194.09445538338613
2059,73,9,40,87.421875,10,19.0,21.122802095024316
2060,73,3,97,87.421875,10,20.0,173.15218419807601
2061,73,3,40,20.390625,10,21.0,47.3267429760666
2062,73,3,40,87.421875,12,22.0,186.54194738754856
2063,73,3,40,87.421875,10,23.0,199.93494842046817
2064,92,4,29,82.265625,9,24.0,66.47040608687959
2065,60,4,29,82.265625,9,25.0,57.64933684747492
2066,92,8,29,82.265625,9,26.0,130.28953340172217
2067,92,4,18,82.265625,9,27.0,35.96357249723541
2068,92,4,29,66.796875,9,28.0,29.371161548731642
2069,92,4,29,82.265625,13,29.0,131.0077815027835
2070,92,8,18,66.796875,13,30.0,29.686612325552673
2071,60,4,18,66.796875,13,31.0,31.27263479145473
2072,60,8,29,66.796875,13,32.0,31.960574364052732
2073,60,8,18,82.265625,13,33.0,27.417221780847033
2074,60,8,18,66.796875,9,34.0,28.40541032328501
2075,60,8,18,66.796875,13,35.0,26.245436229318027
2076,67,8,74,41.015625,3,36.0,203.06996166484117
2077,85,8,74,41.015625,3,37.0,90.8827275230621
2078,67,4,74,41.015625,3,38.0,191.9562874408141
2079,67,8,63,41.015625,3,39.0,194.78590359232726
2080,67,8,74,25.546875,3,40.0,214.26469005748592
2081,67,8,74,41.015625,7,41.0,178.8957582973657
2082,67,4,63,25.546875,7,42.0,184.32138451856514
2083,85,8,63,25.546875,7,43.0,200.60922451779732
2084,85,4,74,25.546875,7,44.0,179.87622354596343
2085,85,4,63,41.015625,7,45.0,97.41090014064697
2086,85,4,63,25.546875,3,46.0,188.60341862525405
2087,85,4,63,25.546875,7,47.0,203.69385819945273
2088,73,3,85,30.703125,4,48.0,87.78392790846806
2089,92,3,85,30.703125,4,49.0,285.6995032047157
2090,73,9,85,30.703125,4,50.0,99.91331680856415
2091,73,3,29,30.703125,4,51.0,87.72162587173527
2092,73,3,85,56.484375,4,52.0,260.18286663616885
2093,73,3,85,30.703125,9,53.0,58.57722341817568
2094,73,9,29,56.484375,9,54.0,100.25849541284404
2095,92,3,29,56.484375,9,55.0,253.3443174723813
2096,92,9,85,56.484375,9,56.0,229.91286714695954
2097,92,9,29,30.703125,9,57.0,230.68446402951423
2098,92,9,29,56.484375,4,58.0,59.247056286392066
2099,92,9,29,56.484375,9,59.0,236.94459253124919
2100,98,7,40,71.953125,10,60.0,123.1851862917924
2101,67,7,40,71.953125,10,61.0,301.4051409530862
2102,98,5,40,71.953125,10,62.0,265.5351541505839
2103,98,7,74,71.953125,10,63.0,28.91541867430655
2104,98,7,40,15.234375,10,64.0,101.9700250405067
2105,98,7,40,71.953125,3,65.0,92.48665891226958
2106,98,5,74,15.234375,3,66.0,262.7813626139744
2107,67,7,74,15.234375,3,67.0,118.21382686702323
2108,67,5,40,15.234375,3,68.0,126.48335174843969
2109,67,5,74,71.953125,3,69.0,33.50262483994879
2110,67,5,74,15.234375,10,70.0,130.18547154819387
2111,67,5,74,15.234375,3,71.0,256.5163182110759
2112,85,5,63,10.078125,13,72.0,171.27790408989938
2113,54,5,63,10.078125,13,73.0,15.212717966513404
2114,85,7,63,10.078125,13,74.0,188.32593946442913
2115,85,5,97,10.078125,13,75.0,16.286018321458315
2116,85,5,63,35.859375,13,76.0,16.941828508611213
2117,85,5,63,10.078125,6,77.0,45.65247482220419
2118,85,7,97,35.859375,6,78.0,43.870938713649714
2119,54,5,97,35.859375,6,79.0,50.49346071319097
2120,54,7,63,35.859375,6,80.0,142.03462695116713
2121,54,7,97,10.078125,6,81.0,45.35143000501756
2122,54,7,97,35.859375,13,82.0,134.93905922681395
2123,54,7,97,35.859375,6,83.0,19.78098142500693
2124,60,8,18,51.328125,7,84.0,262.1897873155777
2125,79,8,18,51.328125,7,85.0,162.1645744981623
2126,60,4,18,51.328125,7,86.0,149.70607575312073
2127,60,8,52,51.328125,7,87.0,163.90780686048825
